n,D
37000,520672
37000,440525
37000,510359
37000,508156
37000,498738
37000,426435
37000,509991
37000,524835
37000,461999
37000,484902
37000,556724
37000,571496
37000,531536
37000,495566
37000,594016
37000,485203
37000,433949
37000,536337
37000,484235
37000,528501
37000,529298
37000,642164
37000,586714
37000,558625
37000,490840
37000,476643
37000,465929
37000,458476
37000,504899
37000,473808
37000,460634
37000,509922
37000,737585
37000,492375
37000,583250
37000,554413
37000,496641
38000,484832
38000,464304
38000,486537
38000,438352
38000,532737
38000,545978
38000,505034
38000,548530
38000,477157
38000,660012
38000,521719
38000,510517
38000,487263
38000,478609
38000,516294
38000,560387
38000,615791
38000,512260
38000,523519
38000,695640
38000,602100
38000,483604
38000,464160
38000,437737
38000,476160
38000,495986
38000,546205
38000,607218
38000,459442
38000,540840
38000,473024
38000,640024
38000,465985
38000,480121
38000,477515
38000,449367
38000,528541
38000,488867
38000,488429
38000,529268
38000,475126
38000,517326
38000,528255
38000,488802
38000,544193
38000,466007
38000,662884
38000,502869
38000,545634
38000,557768
39000,517070
39000,465279
39000,483389
39000,484146
39000,531657
39000,619772
39000,526714
39000,546481
39000,551288
39000,579135
39000,582785
39000,555794
39000,518711
39000,540342
39000,507361
39000,607742
39000,525461
39000,595650
39000,499701
39000,468173
39000,590771
39000,568099
39000,501655
39000,550013
39000,523690
39000,522245
39000,500534
39000,496973
39000,486906
39000,505297
39000,565557
39000,564567
39000,502420
39000,501819
39000,571894
39000,548328
39000,556396
39000,544708
39000,677407
39000,591485
39000,537303
39000,561148
39000,524618
39000,480780
39000,480540
39000,522518
39000,527897
39000,526393
39000,622660
39000,574514
40000,576922
40000,543415
40000,526247
40000,542453
40000,618038
40000,475697
40000,551488
40000,574139
40000,508628
40000,533289
40000,577923
40000,520839
40000,497541
40000,481623
40000,530181
40000,525526
40000,587241
40000,592163
40000,572742
40000,556204
40000,532309
40000,602070
40000,519037
40000,527225
40000,544030
40000,563288
40000,542688
40000,546203
40000,591388
40000,740752
40000,509767
40000,613837
40000,493373
40000,492770
40000,609586
40000,558937
40000,535695
40000,524420
40000,468531
40000,533871
40000,506821
40000,593849
40000,544125
40000,523538
40000,602054
40000,473046
40000,562758
40000,485642
40000,584114
40000,551735
41000,539933
41000,530078
41000,644710
41000,559762
41000,525615
41000,552022
41000,522055
41000,642966
41000,525741
41000,495562
41000,495766
41000,605632
41000,524381
41000,507671
41000,547846
41000,551891
41000,561232
41000,526884
41000,566303
41000,608310
41000,545025
41000,557605
41000,536752
41000,612111
41000,543776
41000,810692
41000,578650
41000,597014
41000,498803
41000,525532
41000,532516
41000,547062
41000,485345
41000,681767
41000,597170
41000,589065
41000,638078
41000,521894
41000,489632
41000,656693
41000,536969
41000,547857
41000,564242
41000,551254
41000,518776
41000,644777
41000,590164
41000,601558
41000,519954
41000,600964
42000,492184
42000,649681
42000,593144
42000,512810
42000,591623
42000,693711
42000,635683
42000,567377
42000,538096
42000,528896
42000,657129
42000,564826
42000,533097
42000,526152
42000,577886
42000,561379
42000,585194
42000,585559
42000,576742
42000,536717
42000,524096
42000,539020
42000,573368
42000,544889
42000,600749
42000,559714
42000,563726
42000,619637
42000,562406
42000,538518
42000,549910
42000,558753
42000,561556
42000,524390
42000,512813
42000,607233
42000,504812
42000,551536
42000,599755
42000,535958
42000,542975
42000,528137
42000,595451
42000,645646
42000,599235
42000,531965
42000,649845
42000,508964
42000,594442
42000,551516
43000,585109
43000,604770
43000,584840
43000,581772
43000,590625
43000,528765
43000,504467
43000,585158
43000,558980
43000,695538
43000,552005
43000,538516
43000,552692
43000,590847
43000,569945
43000,550353
43000,566489
43000,533109
43000,541816
43000,648144
43000,520337
43000,601186
43000,654022
43000,604505
43000,692761
43000,545161
43000,541473
43000,568756
43000,585788
43000,597734
43000,599299
43000,562695
43000,618767
43000,820046
43000,662929
43000,691810
43000,534972
43000,612640
43000,697294
43000,785210
43000,538798
43000,590333
43000,583481
43000,545384
43000,571298
43000,542242
43000,580412
43000,578346
43000,668036
43000,632832
44000,579052
44000,595046
44000,536559
44000,590538
44000,589126
44000,597037
44000,581109
44000,634075
44000,553865
44000,543611
44000,531617
44000,574777
44000,590204
44000,652543
44000,618199
44000,602445
44000,613344
44000,633718
44000,581120
44000,571544
44000,607981
44000,641825
44000,561727
44000,590414
44000,662551
44000,695039
44000,626808
44000,549889
44000,635125
44000,727876
44000,671556
44000,580480
44000,604298
44000,643176
44000,702787
44000,531580
44000,732213
44000,775420
44000,576021
44000,583409
44000,652897
44000,635895
44000,623381
44000,727218
44000,576117
44000,543598
44000,604216
44000,628824
44000,565010
44000,671550
45000,621372
45000,712428
45000,620080
45000,559753
45000,657055
45000,752734
45000,614000
45000,641305
45000,643912
45000,762582
45000,590523
45000,689155
45000,797532
45000,609087
45000,659286
45000,682018
45000,572806
45000,599896
45000,592492
45000,585839
45000,611932
45000,744293
45000,637671
45000,620692
45000,580321
45000,593322
45000,596552
45000,598134
45000,572703
45000,571269
45000,684255
45000,601359
45000,597761
45000,607472
45000,669037
45000,572316
45000,612354
45000,614862
45000,687749
45000,642240
45000,713348
45000,662375
45000,657597
45000,726337
45000,578123
45000,708545
45000,589669
45000,712962
45000,615254
45000,636378
46000,754957
46000,652380
46000,808843
46000,601953
46000,595803
46000,650514
46000,775181
46000,599040
46000,589983
46000,746050
46000,670496
46000,616437
46000,679107
46000,811011
46000,616806
46000,704513
46000,610062
46000,562543
46000,689495
46000,666641
46000,753922
46000,580581
46000,594345
46000,699215
46000,645944
46000,589560
46000,605823
46000,609980
46000,594769
46000,651274
46000,700884
46000,904861
46000,707329
46000,729561
46000,614871
46000,592088
