n,U
39000,14414
39000,14280
39000,14301
39000,14413
39000,14311
39000,14297
39000,14378
39000,14343
39000,14375
39000,14404
39000,14234
39000,14356
39000,14318
39000,14432
39000,14300
39000,14405
39000,14364
39000,14392
39000,14371
39000,14286
40000,14642
40000,14749
40000,14740
40000,14614
40000,14701
40000,14581
40000,14680
40000,14678
40000,14706
40000,14730
40000,14711
40000,14799
40000,14711
40000,14677
40000,14655
40000,14830
40000,14776
40000,14726
40000,14705
40000,14620
40000,14757
40000,14682
40000,14736
40000,14665
40000,14719
40000,14822
40000,14777
40000,14668
40000,14789
40000,14782
40000,14681
40000,14680
40000,14623
40000,14641
40000,14680
40000,14685
40000,14874
40000,14781
40000,14802
40000,14745
40000,14732
40000,14695
40000,14792
40000,14723
40000,14670
40000,14732
40000,14733
40000,14702
40000,14696
40000,14727
41000,14986
41000,15008
41000,15083
41000,15101
41000,15188
41000,15071
41000,15042
41000,15096
41000,15096
41000,15163
41000,15118
41000,15069
41000,15111
41000,15226
41000,15178
41000,15028
41000,15043
41000,15098
41000,15126
41000,15055
41000,15106
41000,15043
41000,15092
41000,15018
41000,15070
41000,15062
41000,15155
41000,15077
41000,15089
41000,15167
41000,15075
41000,14940
41000,15095
41000,15135
41000,15088
41000,15102
41000,15028
41000,15154
41000,15036
41000,15092
41000,15036
41000,15046
41000,15169
41000,15063
41000,15111
41000,15254
41000,15229
41000,15126
41000,15101
41000,15069
42000,15599
42000,15417
42000,15397
42000,15421
42000,15496
42000,15419
42000,15346
42000,15579
42000,15425
42000,15404
42000,15479
42000,15443
42000,15419
42000,15537
42000,15381
42000,15383
42000,15376
42000,15558
42000,15502
42000,15347
42000,15386
42000,15400
42000,15437
42000,15467
42000,15524
42000,15453
42000,15478
42000,15430
42000,15452
42000,15450
42000,15346
42000,15514
42000,15448
42000,15361
42000,15506
42000,15500
42000,15488
42000,15409
42000,15519
42000,15444
42000,15491
42000,15547
42000,15614
42000,15465
42000,15455
42000,15441
42000,15455
42000,15553
42000,15404
42000,15454
43000,15747
43000,15726
43000,15810
43000,15745
43000,15885
43000,15901
43000,15881
43000,15793
43000,15823
43000,15822
43000,16023
43000,15786
43000,15868
43000,15857
43000,15814
43000,15835
43000,15847
43000,15822
43000,15833
43000,15889
43000,15726
43000,15723
43000,15935
43000,15822
43000,15886
43000,15857
43000,15861
43000,15744
43000,15849
43000,15722
43000,15777
43000,15806
43000,15872
43000,15929
43000,15872
43000,15735
43000,15987
43000,15779
43000,15741
43000,15757
43000,15789
43000,15875
43000,15851
43000,15869
43000,15780
43000,15888
43000,15764
43000,15841
43000,15884
43000,15785
44000,16067
44000,16246
44000,16071
44000,16125
44000,16256
44000,16105
44000,16179
44000,16171
44000,16245
44000,16193
44000,16268
44000,16180
44000,16185
44000,16182
44000,16106
44000,16102
44000,16170
44000,16212
44000,16223
44000,16234
44000,16187
44000,16297
44000,16090
44000,16150
44000,16221
44000,16134
44000,16205
44000,16047
44000,16134
44000,16339
44000,16187
44000,16158
44000,16267
44000,16274
44000,16124
44000,16298
44000,16244
44000,16254
44000,16173
44000,16315
44000,16296
44000,16035
44000,16144
44000,16178
44000,16215
44000,16177
44000,16174
44000,16011
44000,16218
44000,16260
45000,16368
45000,16568
45000,16466
45000,16517
45000,16566
45000,16577
45000,16599
45000,16525
45000,16603
45000,16512
45000,16691
45000,16588
45000,16486
45000,16563
45000,16521
45000,16539
45000,16419
45000,16496
45000,16613
45000,16461
45000,16550
45000,16526
45000,16745
45000,16530
45000,16506
45000,16627
45000,16686
45000,16506
45000,16545
45000,16515
45000,16618
45000,16661
45000,16501
45000,16477
45000,16535
45000,16536
45000,16515
45000,16347
45000,16545
45000,16623
45000,16492
45000,16500
45000,16636
45000,16613
45000,16487
45000,16603
45000,16541
45000,16655
45000,16442
45000,16568
46000,16911
46000,17006
46000,16860
46000,16881
46000,17055
46000,16978
46000,16938
46000,17005
46000,16837
46000,16921
46000,16826
46000,16866
46000,16952
46000,16807
46000,16911
46000,16924
46000,16943
46000,16959
46000,16938
46000,17005
46000,16976
46000,16880
46000,16817
46000,17011
46000,16836
46000,16965
46000,16806
46000,16801
46000,16946
