n,C-D
31000,11834
31000,77155
31000,34991
31000,165181
31000,25025
31000,72007
31000,146961
31000,83809
31000,23690
31000,112579
31000,14347
31000,44827
31000,9473
31000,61290
31000,97840
31000,55396
31000,89895
31000,70798
31000,97414
31000,88418
31000,77750
31000,69521
31000,81905
31000,114469
31000,48507
31000,17906
31000,1751
31000,50740
31000,59927
31000,50607
31000,19991
31000,67815
31000,120660
31000,15618
31000,21321
31000,94345
31000,83850
31000,54475
31000,36952
31000,16497
31000,59924
31000,88263
31000,85360
32000,73604
32000,90849
32000,29531
32000,95417
32000,31647
32000,44152
32000,67973
32000,136652
32000,119270
32000,102899
32000,42377
32000,95465
32000,64244
32000,64176
32000,97075
32000,124536
32000,62636
32000,92662
32000,45650
32000,72049
32000,88911
32000,70689
32000,179557
32000,111125
32000,48566
32000,82670
32000,73251
32000,236744
32000,71614
32000,29819
32000,83126
32000,139563
32000,107824
32000,98299
32000,60896
32000,115641
32000,200335
32000,14182
32000,5873
32000,12598
32000,208802
32000,81031
32000,148838
32000,43436
32000,108488
32000,45284
32000,72221
32000,67495
32000,111150
32000,73571
33000,48410
33000,64894
33000,34817
33000,87649
33000,78696
33000,95946
33000,40982
33000,132012
33000,155065
33000,81323
33000,54871
33000,113339
33000,44923
33000,90819
33000,95483
33000,152654
33000,179131
33000,5995
33000,106341
33000,79435
33000,47801
33000,95460
33000,69418
33000,61795
33000,133779
33000,38896
33000,181032
33000,73946
33000,36872
33000,43109
33000,26620
33000,84197
33000,139989
33000,116008
33000,82708
33000,51188
33000,63952
33000,145354
33000,51773
33000,91844
33000,118029
33000,122720
33000,174102
33000,63150
33000,76542
33000,80178
33000,50361
33000,91830
33000,65761
33000,154914
34000,103409
34000,65233
34000,112869
34000,42642
34000,22351
34000,102135
34000,14360
34000,13911
34000,53196
34000,74871
34000,161317
34000,191752
34000,64394
34000,107909
34000,101454
34000,30802
34000,102444
34000,79842
34000,51825
34000,239354
34000,118382
34000,123106
34000,64081
34000,40378
34000,77354
34000,54766
34000,120953
34000,24453
34000,129864
34000,174145
34000,142038
34000,52783
34000,45628
34000,146402
34000,68875
34000,106581
34000,135432
34000,116024
34000,71428
34000,29377
34000,146267
34000,75779
34000,52621
34000,100705
34000,27436
34000,75816
34000,129776
34000,173923
34000,139978
34000,96644
35000,175716
35000,11863
35000,132861
35000,23290
35000,116114
35000,65951
35000,11210
